date,count_first_or_mid_general,count_second_or_full_general
2021-04-12,3429,0
2021-04-13,3116,0
2021-04-14,3451,0
2021-04-15,5014,0
2021-04-16,4812,0
2021-04-17,4138,0
2021-04-18,5880,0
2021-04-19,14595,0
2021-04-20,24145,0
2021-04-21,29641,0
2021-04-22,27960,0
2021-04-23,24095,0
2021-04-24,17268,0
2021-04-25,13913,0
2021-04-26,30002,0
2021-04-27,40098,0
2021-04-28,40428,0
2021-04-29,12318,0
2021-04-30,31089,0
2021-05-01,22728,0
2021-05-02,19736,0
2021-05-03,5357,764
2021-05-04,6298,563
2021-05-05,7718,751
2021-05-06,30693,4233
2021-05-07,28369,4101
2021-05-08,47734,3527
2021-05-09,63928,5760
2021-05-10,76963,10343
2021-05-11,97606,16784
2021-05-12,125401,19894
2021-05-13,123431,17867
2021-05-14,100643,13114
2021-05-15,115257,12303
2021-05-16,167308,11822
2021-05-17,168095,18990
2021-05-18,199480,25453
2021-05-19,246244,25058
2021-05-20,253434,10745
2021-05-21,220354,18334
2021-05-22,231243,20488
2021-05-23,262059,16534
2021-05-24,356790,6000
2021-05-25,407041,6577
2021-05-26,449258,8088
2021-05-27,426381,26596
2021-05-28,409251,23937
2021-05-29,355417,38853
2021-05-30,341412,50902
2021-05-31,403137,62585
2021-06-01,445628,73613
2021-06-02,442842,87536
2021-06-03,437937,81798
2021-06-04,405686,70983
2021-06-05,353652,67453
2021-06-06,269432,101827
2021-06-07,335361,95295
